frame,time_s,face_detected,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0.0,1,0.0,0.0468,0.0302,0.0967,0.0306,0.0349,0.0001,0.0,0.0,0.1139,0.0856,0.183,0.1588,0.009,0.2768,0.2566,0.0129,0.0465,0.0506,0.3654,0.4989,0.0058,0.0056,0.0002,0.0008,0.016,0.0001,0.0014,0.0072,0.0147,0.0002,0.0001,0.002,0.0019,0.004,0.003,0.0858,0.1215,0.0017,0.0003,0.0165,0.0323,0.013,0.0523,0.4671,0.4637,0.0048,0.004,0.1007,0.1733,0.0,0.0
5,0.17,1,0.0,0.118,0.042,0.0607,0.0175,0.0294,0.0003,0.0,0.0,0.1567,0.0577,0.3397,0.3398,0.0083,0.2962,0.2658,0.0138,0.0178,0.0209,0.2081,0.3553,0.0049,0.0103,0.0011,0.0012,0.0414,0.0001,0.001,0.0051,0.0164,0.0346,0.0285,0.0012,0.0017,0.079,0.0544,0.1537,0.3165,0.0001,0.0,0.0629,0.0438,0.0143,0.0502,0.1153,0.1395,0.1607,0.0505,0.3363,0.4623,0.0,0.0
10,0.33,1,0.0,0.1099,0.0376,0.0838,0.0125,0.0241,0.0003,0.0,0.0,0.1853,0.0731,0.3,0.277,0.0067,0.3201,0.2809,0.0147,0.0264,0.0308,0.2458,0.4081,0.004,0.009,0.001,0.0004,0.0292,0.0002,0.0011,0.0109,0.0137,0.0018,0.0017,0.0026,0.0011,0.0448,0.0499,0.1908,0.2236,0.0005,0.0002,0.034,0.0383,0.0089,0.0363,0.5003,0.4518,0.0309,0.0219,0.3012,0.3507,0.0,0.0
15,0.5,1,0.0,0.0675,0.0332,0.0817,0.0199,0.0242,0.0002,0.0,0.0,0.1885,0.0519,0.322,0.2988,0.0062,0.4153,0.3831,0.0058,0.0202,0.0292,0.2317,0.412,0.0037,0.0136,0.001,0.0003,0.0404,0.0003,0.0011,0.0177,0.0149,0.0012,0.0011,0.0036,0.0006,0.069,0.0886,0.3186,0.2316,0.0004,0.0004,0.0206,0.0354,0.0056,0.0424,0.1793,0.1342,0.014,0.0087,0.3542,0.3735,0.0,0.0
20,0.67,1,0.0,0.0603,0.0277,0.104,0.0185,0.0263,0.0,0.0,0.0,0.1794,0.0631,0.2338,0.2171,0.0094,0.3045,0.3176,0.0115,0.0351,0.0453,0.3098,0.4345,0.0055,0.0114,0.0,0.0034,0.0457,0.0004,0.016,0.0211,0.01,0.0,0.0,0.0446,0.0522,0.0004,0.0003,0.0019,0.0023,0.943,0.0007,0.0313,0.2076,0.0017,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.83,1,0.0,0.1492,0.0865,0.0206,0.0048,0.0115,0.0,0.0,0.0,0.1618,0.0394,0.196,0.1776,0.0075,0.3173,0.3096,0.0104,0.0445,0.0522,0.3265,0.3817,0.0044,0.011,0.0001,0.0029,0.0247,0.0001,0.0017,0.0187,0.0023,0.0,0.0,0.032,0.0075,0.0014,0.0022,0.0144,0.0022,0.2716,0.0006,0.0039,0.025,0.0012,0.0181,0.0002,0.0001,0.0003,0.0001,0.0011,0.0009,0.0,0.0
30,1.0,1,0.0,0.1221,0.0588,0.0315,0.0101,0.0133,0.0,0.0,0.0,0.558,0.4317,0.5353,0.5735,0.0424,0.1675,0.151,0.0141,0.0092,0.013,0.3971,0.5345,0.0007,0.0005,0.0003,0.0004,0.0097,0.0001,0.0006,0.061,0.0025,0.0005,0.0005,0.0025,0.001,0.0047,0.0065,0.1767,0.0131,0.0009,0.0002,0.0024,0.017,0.0006,0.0051,0.0107,0.0043,0.0123,0.0021,0.0016,0.0026,0.0,0.0
35,1.17,1,0.0,0.0862,0.0346,0.085,0.0098,0.0208,0.0001,0.0,0.0,0.2949,0.1252,0.2227,0.1903,0.0062,0.3739,0.3148,0.0115,0.0434,0.0525,0.413,0.5964,0.0018,0.0027,0.0004,0.0011,0.0151,0.0001,0.001,0.0525,0.0053,0.0001,0.0001,0.0081,0.0084,0.0052,0.0071,0.1056,0.0264,0.0034,0.0001,0.0026,0.0066,0.0016,0.0418,0.0655,0.0327,0.0046,0.0017,0.0528,0.0455,0.0,0.0
40,1.33,1,0.0,0.0502,0.0222,0.0698,0.0249,0.0447,0.0,0.0,0.0,0.1992,0.0637,0.1145,0.0968,0.0067,0.3182,0.3097,0.0115,0.0784,0.0934,0.3468,0.4874,0.0039,0.0068,0.0001,0.001,0.0072,0.0001,0.002,0.1272,0.0163,0.0,0.0,0.0108,0.028,0.0003,0.0003,0.0352,0.0179,0.2351,0.0003,0.0096,0.0244,0.0029,0.0048,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0
45,1.5,1,0.0,0.0242,0.0187,0.1001,0.0532,0.0464,0.0,0.0,0.0,0.1439,0.023,0.0792,0.0562,0.0126,0.2287,0.2407,0.0154,0.1241,0.1466,0.3306,0.3706,0.0061,0.0213,0.0,0.0015,0.0077,0.0001,0.0028,0.0182,0.0093,0.0,0.0,0.0164,0.0322,0.0001,0.0001,0.0047,0.0046,0.7859,0.0009,0.008,0.046,0.0041,0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
