frame,time_s,face_detected,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
0,0.0,1,0.0,0.0017,0.0026,0.0928,0.601,0.2165,0.0,0.0,0.0,0.0232,0.0166,0.1036,0.101,0.0265,0.1283,0.1258,0.0325,0.0828,0.08,0.1985,0.1061,0.0274,0.0293,0.0001,0.0001,0.0005,0.0,0.0002,0.0052,0.0038,0.0001,0.0001,0.003,0.0006,0.0003,0.0003,0.0367,0.0338,0.0467,0.0041,0.0005,0.0002,0.0038,0.016,0.1283,0.1532,0.0064,0.0222,0.0015,0.0018,0.0,0.0
5,0.17,1,0.0,0.0027,0.0038,0.0671,0.5321,0.171,0.0,0.0,0.0,0.0329,0.0256,0.1315,0.1271,0.0489,0.0769,0.0837,0.0516,0.0662,0.0591,0.2523,0.1092,0.022,0.0175,0.0001,0.0001,0.0006,0.0,0.0003,0.0046,0.0047,0.0,0.0001,0.0026,0.0008,0.0001,0.0001,0.0296,0.0374,0.0647,0.0045,0.0006,0.0003,0.0115,0.0265,0.189,0.2646,0.0036,0.0195,0.0017,0.0025,0.0,0.0
10,0.33,1,0.0,0.0044,0.0052,0.0689,0.4179,0.1285,0.0,0.0,0.0,0.0586,0.0353,0.1788,0.1711,0.035,0.1078,0.1096,0.0414,0.0492,0.0439,0.2961,0.1304,0.0141,0.0126,0.0001,0.0001,0.0006,0.0,0.0004,0.0053,0.0042,0.0,0.0,0.0044,0.0008,0.0001,0.0001,0.0234,0.0217,0.1369,0.0075,0.0006,0.0003,0.011,0.0293,0.2994,0.3605,0.002,0.012,0.0019,0.0028,0.0,0.0
15,0.5,1,0.0,0.0128,0.0116,0.0251,0.2329,0.0927,0.0,0.0,0.0,0.543,0.4541,0.7065,0.7179,0.0392,0.0714,0.1255,0.0812,0.0055,0.0036,0.3849,0.3547,0.0011,0.0005,0.0001,0.0002,0.0009,0.0001,0.0005,0.0054,0.0042,0.0001,0.0001,0.0043,0.0017,0.0001,0.0001,0.0303,0.0342,0.1166,0.0026,0.0009,0.0004,0.0093,0.0193,0.2968,0.3534,0.0042,0.0326,0.0013,0.002,0.0,0.0
20,0.67,1,0.0,0.0118,0.011,0.0405,0.2368,0.0799,0.0,0.0,0.0,0.2607,0.1898,0.2752,0.2709,0.0226,0.1344,0.1496,0.0384,0.0329,0.026,0.3186,0.2464,0.003,0.0021,0.0001,0.0002,0.0007,0.0,0.0005,0.0042,0.0039,0.0,0.0,0.0051,0.002,0.0001,0.0,0.025,0.0264,0.1815,0.0027,0.0007,0.0003,0.0124,0.0257,0.3032,0.3588,0.0028,0.0115,0.001,0.0018,0.0,0.0
25,0.84,1,0.0,0.0173,0.0146,0.0341,0.185,0.0754,0.0,0.0,0.0,0.1282,0.0865,0.1354,0.1369,0.0172,0.1753,0.176,0.0287,0.0675,0.0558,0.3056,0.1598,0.0064,0.0046,0.0001,0.0002,0.0007,0.0,0.0004,0.0058,0.0045,0.0,0.0,0.0048,0.001,0.0001,0.0001,0.0316,0.0306,0.1192,0.0046,0.0006,0.0002,0.0116,0.029,0.2204,0.273,0.0035,0.0166,0.0011,0.0017,0.0,0.0
30,1.0,1,0.0,0.0195,0.0148,0.0317,0.1789,0.0733,0.0,0.0,0.0,0.0936,0.058,0.1241,0.1241,0.0111,0.2477,0.2338,0.0191,0.0725,0.0623,0.2885,0.1337,0.0085,0.0074,0.0001,0.0002,0.0008,0.0,0.0005,0.0059,0.007,0.0,0.0,0.0045,0.0008,0.0001,0.0001,0.0331,0.0374,0.1137,0.007,0.0007,0.0003,0.0108,0.0266,0.1933,0.2535,0.0031,0.0119,0.0007,0.0012,0.0,0.0
35,1.17,1,0.0,0.0384,0.0257,0.0145,0.1569,0.0653,0.0,0.0,0.0,0.0398,0.0243,0.1721,0.1734,0.0098,0.2523,0.2341,0.02,0.0521,0.0445,0.1978,0.0879,0.0185,0.021,0.0001,0.0001,0.0004,0.0,0.0003,0.0023,0.0036,0.0002,0.0002,0.0048,0.0006,0.0001,0.0,0.0197,0.0279,0.1722,0.0072,0.0005,0.0001,0.0197,0.0524,0.2216,0.3116,0.0105,0.0427,0.0017,0.003,0.0,0.0
40,1.34,1,0.0,0.0389,0.022,0.0215,0.13,0.0713,0.0,0.0,0.0,0.054,0.0342,0.1586,0.1614,0.0111,0.2382,0.223,0.0203,0.0553,0.0467,0.2305,0.1035,0.0134,0.0138,0.0001,0.0001,0.0005,0.0,0.0004,0.0034,0.0051,0.0001,0.0001,0.0041,0.0006,0.0001,0.0,0.0274,0.0294,0.1238,0.0091,0.0005,0.0002,0.0149,0.035,0.2232,0.2798,0.0066,0.0183,0.0011,0.0019,0.0,0.0
45,1.51,1,0.0,0.0294,0.0206,0.0272,0.1474,0.0658,0.0,0.0,0.0,0.0492,0.0271,0.1408,0.138,0.0107,0.2556,0.2365,0.0183,0.0647,0.0594,0.203,0.1062,0.0147,0.0175,0.0001,0.0001,0.0005,0.0,0.0003,0.004,0.0039,0.0,0.0,0.0056,0.0008,0.0001,0.0,0.0211,0.0211,0.2057,0.0069,0.0005,0.0002,0.0113,0.0302,0.3216,0.3834,0.0038,0.0167,0.001,0.0016,0.0,0.0
50,1.67,1,0.0,0.0303,0.0213,0.0245,0.1407,0.0679,0.0,0.0,0.0,0.0628,0.0367,0.1401,0.1352,0.0122,0.2294,0.2145,0.0211,0.0638,0.0606,0.2449,0.1469,0.0121,0.0128,0.0,0.0001,0.0004,0.0,0.0002,0.0043,0.0048,0.0,0.0,0.0049,0.0007,0.0001,0.0,0.0188,0.0163,0.2401,0.0101,0.0005,0.0003,0.0172,0.0362,0.4018,0.4369,0.0021,0.0058,0.0018,0.0029,0.0,0.0
55,1.84,1,0.0,0.0391,0.0252,0.0178,0.1166,0.0667,0.0,0.0,0.0,0.0786,0.0505,0.1185,0.1208,0.0112,0.2363,0.2239,0.0206,0.0746,0.0684,0.332,0.1852,0.0101,0.0092,0.0,0.0001,0.0005,0.0,0.0002,0.0049,0.0046,0.0,0.0,0.0043,0.0004,0.0001,0.0,0.0212,0.0144,0.2078,0.0184,0.0006,0.0003,0.0248,0.0452,0.4991,0.5259,0.0015,0.0055,0.0036,0.0055,0.0,0.0
60,2.01,1,0.0,0.0461,0.0371,0.0126,0.1045,0.0488,0.0,0.0,0.0,0.0805,0.047,0.1673,0.1564,0.0113,0.2333,0.2164,0.0211,0.0522,0.0505,0.2875,0.2129,0.01,0.0104,0.0,0.0001,0.0004,0.0,0.0002,0.0058,0.0037,0.0001,0.0001,0.004,0.0005,0.0001,0.0,0.0242,0.0142,0.1778,0.0131,0.0007,0.0003,0.0315,0.0659,0.5032,0.4982,0.002,0.0074,0.0071,0.0101,0.0,0.0
65,2.17,1,0.0,0.045,0.0401,0.012,0.1083,0.046,0.0,0.0,0.0,0.063,0.0337,0.1988,0.1845,0.0154,0.1837,0.1713,0.0272,0.0435,0.0422,0.2617,0.1528,0.0128,0.0149,0.0,0.0001,0.0003,0.0,0.0002,0.0059,0.0038,0.0001,0.0001,0.0035,0.0003,0.0,0.0,0.0221,0.0122,0.1771,0.0207,0.0006,0.0002,0.0422,0.0799,0.5248,0.5158,0.0024,0.0084,0.012,0.0157,0.0,0.0
70,2.34,1,0.0,0.0657,0.0535,0.0055,0.0883,0.0447,0.0,0.0,0.0,0.0684,0.0395,0.2509,0.2389,0.0187,0.1525,0.1534,0.0333,0.0338,0.0304,0.2897,0.1899,0.0126,0.0134,0.0,0.0001,0.0004,0.0,0.0002,0.0031,0.0037,0.0002,0.0003,0.0028,0.0002,0.0001,0.0,0.0183,0.0148,0.1248,0.0244,0.0007,0.0002,0.0504,0.1012,0.521,0.5702,0.0041,0.0151,0.0172,0.027,0.0,0.0
75,2.51,1,0.0,0.0674,0.0447,0.0062,0.0829,0.0499,0.0,0.0,0.0,0.0885,0.0537,0.2084,0.2086,0.0157,0.1647,0.1767,0.0326,0.0413,0.0359,0.3624,0.2309,0.0102,0.0095,0.0001,0.0001,0.0005,0.0,0.0002,0.0034,0.0033,0.0002,0.0002,0.0034,0.0003,0.0001,0.0001,0.0189,0.0135,0.1361,0.0188,0.0009,0.0003,0.0396,0.0797,0.5842,0.6144,0.0027,0.0112,0.0193,0.0282,0.0,0.0
80,2.68,1,0.0,0.0518,0.0397,0.0085,0.1097,0.0582,0.0,0.0,0.0,0.0721,0.0398,0.1877,0.1879,0.0111,0.22,0.2157,0.0255,0.0469,0.0425,0.3198,0.1749,0.0118,0.0131,0.0,0.0001,0.0003,0.0,0.0002,0.0021,0.0027,0.0004,0.0005,0.0025,0.0002,0.0,0.0,0.0162,0.012,0.1577,0.026,0.0008,0.0002,0.0856,0.1017,0.5953,0.6304,0.0062,0.0201,0.0179,0.0277,0.0,0.0
85,2.84,1,0.0,0.0541,0.0512,0.0078,0.0995,0.0384,0.0,0.0,0.0,0.0789,0.033,0.2134,0.1985,0.01,0.2501,0.2241,0.0203,0.0406,0.0386,0.3153,0.1786,0.0105,0.0146,0.0,0.0001,0.0005,0.0,0.0002,0.0034,0.0037,0.0002,0.0003,0.003,0.0003,0.0001,0.0,0.0242,0.0165,0.1276,0.0137,0.001,0.0002,0.0525,0.0876,0.5297,0.5304,0.0052,0.013,0.0119,0.0188,0.0,0.0
